iso_a3,name,region,year,population,gdp_per_capita,life_expectancy
ben,Benin,Africa,1960,2431622,1186,41.09
ben,Benin,Africa,1965,2632356,1248,43.94
ben,Benin,Africa,1970,2912340,1269,47.21
ben,Benin,Africa,1975,3265165,1208,49.57
ben,Benin,Africa,1980,3717165,1424,51.53
ben,Benin,Africa,1985,4278501,1614,53.72
ben,Benin,Africa,1990,4978496,1463,55.46
ben,Benin,Africa,1995,5905558,1515,56.46
ben,Benin,Africa,2000,6865951,1666,57.56
ben,Benin,Africa,2005,7982225,1736,59.47
ben,Benin,Africa,2010,9199259,1819,61.82
ben,Benin,Africa,2015,10575952,1987,63.9
btn,Bhutan,Asia,1950,176797,848,36.17
btn,Bhutan,Asia,1955,197457,898,38.72
btn,Bhutan,Asia,1960,223288,951,41.69
btn,Bhutan,Asia,1965,254464,1006,44.61
btn,Bhutan,Asia,1970,298301,1065,48.77
btn,Bhutan,Asia,1975,349982,955,51.19
btn,Bhutan,Asia,1980,409172,1128,53.29
btn,Bhutan,Asia,1985,467178,1381,56.35
btn,Bhutan,Asia,1990,537280,2325,59.9
btn,Bhutan,Asia,1995,514877,2897,62.9
btn,Bhutan,Asia,2000,573416,3539,65.62
btn,Bhutan,Asia,2005,656639,4522,69.56
btn,Bhutan,Asia,2010,727641,6420,72.13
btn,Bhutan,Asia,2015,787386,7736,73.77
bol,Bolivia,Americas,1950,3089646,3204,42.93
bol,Bolivia,Americas,1955,3365360,3099,44.53
bol,Bolivia,Americas,1960,3693449,2690,46.37
bol,Bolivia,Americas,1965,4070590,3028,48.29
bol,Bolivia,Americas,1970,4505778,3655,50.19
bol,Bolivia,Americas,1975,5009257,4231,53.39
bol,Bolivia,Americas,1980,5589575,4330,56.36
bol,Bolivia,Americas,1985,6211550,3676,58.67
bol,Bolivia,Americas,1990,6856244,3707,61.35
bol,Bolivia,Americas,1995,7566714,4106,64.3
bol,Bolivia,Americas,2000,8339512,4412,67.66
bol,Bolivia,Americas,2005,9125409,4695,70.08
bol,Bolivia,Americas,2010,9918242,5407,71.64
bol,Bolivia,Americas,2015,10724705,6532,73.01
bih,Bosnia and Herzegovina,Europe,1950,2661296,1256,51.58
bih,Bosnia and Herzegovina,Europe,1955,2936309,1376,56.47
bih,Bosnia and Herzegovina,Europe,1960,3225668,1760,60.57
bih,Bosnia and Herzegovina,Europe,1965,3535640,2088,63.62
bih,Bosnia and Herzegovina,Europe,1970,3760527,2399,66.44
bih,Bosnia and Herzegovina,Europe,1975,3985103,2897,68.08
bih,Bosnia and Herzegovina,Europe,1980,4179855,3397,69.57
bih,Bosnia and Herzegovina,Europe,1985,4392130,3291,70.88
bih,Bosnia and Herzegovina,Europe,1990,4463422,2782,72.08
bih,Bosnia and Herzegovina,Europe,1995,3843712,1827,68.87
bih,Bosnia and Herzegovina,Europe,2000,3766706,6327,74.83
bih,Bosnia and Herzegovina,Europe,2005,3781530,8315,75.74
bih,Bosnia and Herzegovina,Europe,2010,3722084,9717,76.75
bih,Bosnia and Herzegovina,Europe,2015,3535961,10902,77.36
bwa,Botswana,Africa,1950,412531,837,48.04
bwa,Botswana,Africa,1955,469740,909,50.01
bwa,Botswana,Africa,1960,524552,972,52.12
bwa,Botswana,Africa,1965,597190,1058,53.99
bwa,Botswana,Africa,1970,695597,1572,56.53
bwa,Botswana,Africa,1975,825840,2979,59.48
bwa,Botswana,Africa,1980,1001158,4308,61.65
bwa,Botswana,Africa,1985,1189114,5846,63.88
bwa,Botswana,Africa,1990,1377912,8110,64.41
bwa,Botswana,Africa,1995,1569094,8904,56.36
bwa,Botswana,Africa,2000,1728340,10411,46.67
bwa,Botswana,Africa,2005,1855852,11583,47.75
bwa,Botswana,Africa,2010,2014866,13334,57.06
bwa,Botswana,Africa,2015,2209197,15356,64.64
bra,Brazil,Americas,1950,53974729,3032,51.78
bra,Brazil,Americas,1955,62569196,3545,54.16
bra,Brazil,Americas,1960,72207554,4436,56.84
bra,Brazil,Americas,1965,83498020,4674,59.29
bra,Brazil,Americas,1970,95326793,5936,61.43
bra,Brazil,Americas,1975,107612100,8605,63.65
bra,Brazil,Americas,1980,121159761,10934,65.86
bra,Brazil,Americas,1985,135676281,10508,66.99
bra,Brazil,Americas,1990,149352145,10345,68.52
bra,Brazil,Americas,1995,162296612,11072,69.74
bra,Brazil,Americas,2000,175287587,11371,71.44
bra,Brazil,Americas,2005,186917361,12299,72.98
bra,Brazil,Americas,2010,196796269,14539,74.19
bra,Brazil,Americas,2015,205962108,14666,75.17
brn,Brunei,Asia,1950,48001,56560,55.52
brn,Brunei,Asia,1955,63420,61567,58.13
brn,Brunei,Asia,1960,81745,67009,61.04
brn,Brunei,Asia,1965,102425,72920,63.56
brn,Brunei,Asia,1970,129583,79342,65.58
brn,Brunei,Asia,1975,161671,96790,69.23
brn,Brunei,Asia,1980,193949,131597,69.9
brn,Brunei,Asia,1985,224512,95126,72.25
brn,Brunei,Asia,1990,258785,84672,73.53
brn,Brunei,Asia,1995,297192,86116,74.4
brn,Brunei,Asia,2000,333241,82050,76
brn,Brunei,Asia,2005,365158,82967,76.79
brn,Brunei,Asia,2010,388662,80553,77.08
brn,Brunei,Asia,2015,417542,74600,76.93
bgr,Bulgaria,Europe,1950,7250999,2756,61.23
bgr,Bulgaria,Europe,1955,7561405,3583,64.64
bgr,Bulgaria,Europe,1960,7885525,4855,68.98
bgr,Bulgaria,Europe,1965,8222470,6415,71.09
bgr,Bulgaria,Europe,1970,8507476,7949,71.04
bgr,Bulgaria,Europe,1975,8738361,9706,71.25
bgr,Bulgaria,Europe,1980,8878775,10054,71.25
bgr,Bulgaria,Europe,1985,8975291,10350,71.34
bgr,Bulgaria,Europe,1990,8841371,9297,71.48
bgr,Bulgaria,Europe,1995,8379180,8446,71.02
bgr,Bulgaria,Europe,2000,7997787,8958,71.75
bgr,Bulgaria,Europe,2005,7683763,12681,72.66
bgr,Bulgaria,Europe,2010,7404590,15283,73.86
bgr,Bulgaria,Europe,2015,7177396,17000,75.03
bfa,Burkina Faso,Africa,1950,4284461,524,33.22
bfa,Burkina Faso,Africa,1955,4517155,590,35.82
bfa,Burkina Faso,Africa,1960,4829288,659,38.62
bfa,Burkina Faso,Africa,1965,5174870,731,41.55
bfa,Burkina Faso,Africa,1970,5624600,790,44.38
bfa,Burkina Faso,Africa,1975,6154545,703,46.07
bfa,Burkina Faso,Africa,1980,6822843,759,48.21
bfa,Burkina Faso,Africa,1985,7727907,801,50.08
bfa,Burkina Faso,Africa,1990,8811034,821,50.61
bfa,Burkina Faso,Africa,1995,10089878,869,50.68
bfa,Burkina Faso,Africa,2000,11607942,1046,52.16
bfa,Burkina Faso,Africa,2005,13421930,1232,55.06
bfa,Burkina Faso,Africa,2010,15605217,1425,57.89
bfa,Burkina Faso,Africa,2015,18110624,1551,60.34
bdi,Burundi,Africa,1950,2308920,513,39.03
bdi,Burundi,Africa,1955,2531184,586,40.44
bdi,Burundi,Africa,1960,2786106,645,42.02
bdi,Burundi,Africa,1965,3077876,624,43.64
bdi,Burundi,Africa,1970,3455606,802,44.69
bdi,Burundi,Africa,1975,3671494,802,45.19
bdi,Burundi,Africa,1980,4116817,914,46.31
bdi,Burundi,Africa,1985,4702066,1027,47.6
bdi,Burundi,Africa,1990,5415415,1087,47.99
bdi,Burundi,Africa,1995,5962058,870,46.95
bdi,Burundi,Africa,2000,6400706,754,47.91
bdi,Burundi,Africa,2005,7423289,724,53.11
bdi,Burundi,Africa,2010,8766930,764,57.73
bdi,Burundi,Africa,2015,10199270,749,59.99
khm,Cambodia,Asia,1950,4432714,1109,42.09
khm,Cambodia,Asia,1955,5045288,1193,43.22
khm,Cambodia,Asia,1960,5722370,1548,43.9
khm,Cambodia,Asia,1965,6467197,1590,45
khm,Cambodia,Asia,1970,6994848,1656,44.68
khm,Cambodia,Asia,1975,7522593,1105,24.75
khm,Cambodia,Asia,1980,6692107,847,52.54
khm,Cambodia,Asia,1985,7712978,795,54.15
khm,Cambodia,Asia,1990,8973342,1007,57.37
khm,Cambodia,Asia,1995,10653558,1103,58.16
khm,Cambodia,Asia,2000,12152354,1376,59.47
khm,Cambodia,Asia,2005,13270201,1969,62.88
khm,Cambodia,Asia,2010,14308740,2523,66.12
khm,Cambodia,Asia,2015,15517635,3291,68.32
cmr,Cameroon,Africa,1950,4307022,1461,41.56
cmr,Cameroon,Africa,1955,4704233,1657,43.52
cmr,Cameroon,Africa,1960,5176268,1846,46.1
cmr,Cameroon,Africa,1965,5777834,1955,48.8
cmr,Cameroon,Africa,1970,6527635,2217,51.71
cmr,Cameroon,Africa,1975,7457362,2395,53.64
cmr,Cameroon,Africa,1980,8618354,2742,55.6
cmr,Cameroon,Africa,1985,10050023,3779,57.82
cmr,Cameroon,Africa,1990,11715218,2852,58.45
cmr,Cameroon,Africa,1995,13460994,2264,56.49
cmr,Cameroon,Africa,2000,15274234,2507,54.46
cmr,Cameroon,Africa,2005,17420795,2637,54.87
cmr,Cameroon,Africa,2010,19970495,2655,57.25
cmr,Cameroon,Africa,2015,22834522,2991,59.66
can,Canada,Americas,1950,13733402,12044,68.36
can,Canada,Americas,1955,15738362,13541,70.13
can,Canada,Americas,1960,17917236,14450,71.13
can,Canada,Americas,1965,19703883,17292,71.89
can,Canada,Americas,1970,21452737,19904,72.75
can,Canada,Americas,1975,23156209,23674,73.68
can,Canada,Americas,1980,24537422,26778,75.29
can,Canada,Americas,1985,25873949,29134,76.5
can,Canada,Americas,1990,27692680,31300,77.43
can,Canada,Americas,1995,29330073,32226,78.05
can,Canada,Americas,2000,30735773,37432,79.21
can,Canada,Americas,2005,32287980,40471,80.18
can,Canada,Americas,2010,34168668,40699,81.29
can,Canada,Americas,2015,35949709,42983,81.74
cpv,Cape Verde,Africa,1950,178066,787,51.72
cpv,Cape Verde,Africa,1955,197421,787,52.62
cpv,Cape Verde,Africa,1960,202310,837,53.6
cpv,Cape Verde,Africa,1965,231428,919,54.53
cpv,Cape Verde,Africa,1970,270198,959,57.57
cpv,Cape Verde,Africa,1975,272423,787,61.61
cpv,Cape Verde,Africa,1980,286657,1217,65.21
cpv,Cape Verde,Africa,1985,315069,1507,65.66
cpv,Cape Verde,Africa,1990,341883,1657,67.82
cpv,Cape Verde,Africa,1995,389127,2423,67.19
cpv,Cape Verde,Africa,2000,435079,3835,69.75
cpv,Cape Verde,Africa,2005,474567,4643,71.09
cpv,Cape Verde,Africa,2010,502384,5828,72.45
cpv,Cape Verde,Africa,2015,532913,5919,73.39
caf,Central African Republic,Africa,1950,1326652,1212,36.53
caf,Central African Republic,Africa,1955,1399487,1344,38.88
caf,Central African Republic,Africa,1960,1503508,1426,41.43
caf,Central African Republic,Africa,1965,1648833,1322,44.28
caf,Central African Republic,Africa,1970,1828709,1346,48.26
caf,Central African Republic,Africa,1975,2017372,1170,48.43
caf,Central African Republic,Africa,1980,2279821,1091,49.63
caf,Central African Republic,Africa,1985,2634232,987,49.98
caf,Central African Republic,Africa,1990,2939780,932,48.21
caf,Central African Republic,Africa,1995,3352767,858,46.2
caf,Central African Republic,Africa,2000,3754986,819,44.48
caf,Central African Republic,Africa,2005,4127910,816,45.02
caf,Central African Republic,Africa,2010,4448525,888,47.48
caf,Central African Republic,Africa,2015,4546100,626,49.71
tcd,Chad,Africa,1950,2502317,1225,40.97
tcd,Chad,Africa,1955,2735208,1368,42.63
tcd,Chad,Africa,1960,3001593,1474,44.52
tcd,Chad,Africa,1965,3309573,1386,46.45
tcd,Chad,Africa,1970,3643549,1337,49.18
tcd,Chad,Africa,1975,4087948,1440,51.21
tcd,Chad,Africa,1980,4512042,890,51.23
tcd,Chad,Africa,1985,5091535,1201,52.4
tcd,Chad,Africa,1990,5956859,1110,53.26
tcd,Chad,Africa,1995,7000722,1041,53.45
tcd,Chad,Africa,2000,8342559,993,52.16
tcd,Chad,Africa,2005,10067009,1793,53.85
tcd,Chad,Africa,2010,11887202,1925,56.49
tcd,Chad,Africa,2015,14009413,2048,59.19
chl,Chile,Americas,1950,6188284,5146,55.33
chl,Chile,Americas,1955,6906838,5550,56.5
chl,Chile,Americas,1960,7716625,5943,58.2
chl,Chile,Americas,1965,8617077,6359,60.54
chl,Chile,Americas,1970,9563865,7264,63.43
chl,Chile,Americas,1975,10435534,5952,67.17
chl,Chile,Americas,1980,11266226,7935,70.21
chl,Chile,Americas,1985,12181028,7046,72.15
chl,Chile,Americas,1990,13242132,8992,73.52
chl,Chile,Americas,1995,14296613,12172,75.4
chl,Chile,Americas,2000,15262754,14315,77.24
chl,Chile,Americas,2005,16147064,17008,78.37
chl,Chile,Americas,2010,16993354,19442,79.12
chl,Chile,Americas,2015,17762681,22537,80.13
chn,China,Asia,1950,554419275,536,40.73
chn,China,Asia,1955,610834396,708,46.97
chn,China,Asia,1960,657686143,891,30.9
chn,China,Asia,1965,722562183,774,54.29
chn,China,Asia,1970,824788457,851,61.04
chn,China,Asia,1975,920945083,924,63.26
chn,China,Asia,1980,993877310,1078,64.22
chn,China,Asia,1985,1070863389,1566,66.08
chn,China,Asia,1990,1172445200,1526,67.05
chn,China,Asia,1995,1239940004,2564,68.36
chn,China,Asia,2000,1283198970,3701,70.03
chn,China,Asia,2005,1321623490,5719,72.4
chn,China,Asia,2010,1359755102,9526,74.59
chn,China,Asia,2015,1397028553,13570,76.26
col,Colombia,Americas,1950,12340899,3139,51.61
col,Colombia,Americas,1955,14225204,3371,56.95
col,Colombia,Americas,1960,16480383,3479,61
col,Colombia,Americas,1965,19144223,3709,63.76
col,Colombia,Americas,1970,22061215,4238,65.96
col,Colombia,Americas,1975,24756973,5092,66.44
col,Colombia,Americas,1980,27737900,6218,69.01
col,Colombia,Americas,1985,31011688,6440,68
col,Colombia,Americas,1990,34271565,7534,71.38
col,Colombia,Americas,1995,37441977,8443,71.99
col,Colombia,Americas,2000,40403958,8308,73.25
col,Colombia,Americas,2005,43285634,9264,75
col,Colombia,Americas,2010,45918097,10901,76.44
col,Colombia,Americas,2015,48228697,12985,78.05
com,Comoros,Africa,1950,159459,808,42.4
com,Comoros,Africa,1955,175903,902,44.08
com,Comoros,Africa,1960,191121,1027,46.25
com,Comoros,Africa,1965,207424,1310,48.53
com,Comoros,Africa,1970,230054,1428,51.14
com,Comoros,Africa,1975,257290,1578,52.94
com,Comoros,Africa,1980,307829,1640,54.49
com,Comoros,Africa,1985,355337,1723,56.6
com,Comoros,Africa,1990,411594,1600,58.63
com,Comoros,Africa,1995,475394,1438,59.99
com,Comoros,Africa,2000,542357,1481,61.48
com,Comoros,Africa,2005,611627,1472,64.29
com,Comoros,Africa,2010,689692,1413,65.93
com,Comoros,Africa,2015,777424,1413,67.27
cod,"Congo, Dem. Rep.",Africa,1950,12183659,1568,42.82
cod,"Congo, Dem. Rep.",Africa,1955,13517513,2137,44.82
cod,"Congo, Dem. Rep.",Africa,1960,15248251,2235,46.5
cod,"Congo, Dem. Rep.",Africa,1965,17369883,2027,48.12
cod,"Congo, Dem. Rep.",Africa,1970,20009935,2107,50.33
cod,"Congo, Dem. Rep.",Africa,1975,22902319,2046,51.62
